product_id,mpn
1,HMAA8GL7MMR4NUH
2,AT16G2D4S2666ND8N12V
3,CT16G4RFD4213
3,CT16G4RFD4213.36FA2
3,CT16G4RFD4213.36FB1
4,HMA84GR7MFR4NUH
5,Unknown
6,Unknown
7,16 GB PC4-17000
8,Unknown
9,F4-3200C16D-16GTZR
10,Does not apply
11,Unknown
12,Does not Apply
13,HMA42GR7AFR4NUH
14,16 GB PC4-19200S
15,CT16G4DFRA32A
16,CMK32GX4M2B3200C16
17,Unknown
18,F44000C18D32GTZR
19,AX4U300038G16A-BB10
20,Unknown
21,CMW128GX4M8C3200C16W
22,MTA36ASF8G72PZ-2G9E1UI
23,Unknown
24,Unknown
25,Unknown
26,Does Not Apply
27,16GB PC4-3200AA
28,AT8G1D4S3200NNRN12V
29,CMH16GX4M2E3200C16W
30,CMSX16GX4M1A3200C22
31,MTA18ASF2G72PZ-2G9E6VI
32,Unknown
33,KVR24R17D4/32
34,Unknown
35,KCP432ND8/16
36,16GB DDR4 2400
37,M471A2K43EB1-CWE
38,Unknown
39,Unknown
40,Unknown
41,HMAA4GS6CJR8N
42,8 GB PC4-21300U
43,HX426C16FB3/16
44,M393A4K40BB0-CPB0Q
44,M393A4K40BB0-CPB
45,M378A1K43CB2
46,4 GB PC4-17000U
47,M393A8G40AB2-CWE
48,Unknown
49,CT8G4SFRA266
50,HMA81GS6AFR8N-UH
50,HMA81GS6MFR8N
50,HMA81GS6CJR8N
51,Unknown
52,RMSA3260MB78HAF2400
53,M378A1K43BB1-CPB
54,MTA16ATF2G64AZ-2G6E1
55,933276001
56,HMA81GS6AFR8N-UH
57,HMAA1GU6CJR6N-XN
58,Unknown
59,Unknown
60,HMA81GS6AFR8NUH
61,PC43200AASA212
62,933276001
63,HMA82GR7AFR8N-VK
63,HMAA4GU7CJR8NXN
64,K821PJ-MIH
64,K821PJ-MID
65,HMCG88AGBSA095N
65,MTC16C2085S1SC56BD1
66,Unknown
67,WD4REV908G21MSB-PAN
68,CT16G4SFRA32A.C16FT
69,Unknown
70,F43600C16D32GVKC
71,Unknown
72,Unknown
73,Unknown
74,16GB PC4-3200AA
75,Unknown
76,Unknown
77,Unknown
78,Unknown
79,Unknown
80,Unknown
81,Unknown
82,CMK32GX4M2A2666C16
83,8GB RAM
84,Unknown
85,CMK8GX4M2B3000C15
86,Unknown
87,Unknown
88,Unknown
89,CMR16GX4M2C3200C16
90,Unknown
91,F5-6000J3636F16GX2-FX5
92,HMAA4GS6AJR8N-XN
93,CP32G4DFRA32A.M16FF
94,TLZGD416G3200HC16CDC01
95,HMA81GU6AFR8N-UH
95,HMA81GU6AFR8NUH
96,KSM26RD4/64HCR
97,CM10246417000SO
98,Unknown
99,MTA8ATF1G64HZ-3G2J1
99,MTA8ATF1G64HZ3G2J1
100,KM0VW4
101,4 GB PC4-19200S
102,M378A1K43CB2-CRC
103,M386A4G40DM0-CPB
103,M386A4G40DM0
104,Unknown
105,Unknown
106,Unknown
107,901177
107,401743
108,GPR48GB3000C16AS
109,Unknown
110,PC43200AASE111
111,F43200C16D16GVKB
112,F4-3600C18Q-128GVK
