ram_generation,brand,capacity_gb,bus_speed_mhz,unit_type,mpn,is_bulk_server,product_id
DDR4,SK Hynix,64.0,2400.0,Single,HMAA8GL7MMR4NUH,1,1
DDR4,A-Tech,32.0,2666.0,Dual Kit,AT16G2D4S2666ND8N12V,0,2
DDR4,Crucial,16.0,2133.0,Single,"CT16G4RFD4213, CT16G4RFD4213.36FA2, CT16G4RFD4213.36FB1",1,3
DDR4,SK Hynix,32.0,2400.0,Single,HMA84GR7MFR4NUH,0,4
DDR4,Other,8.0,2666.0,Single,Unknown,0,5
DDR4,Samsung,32.0,2666.0,Single,Unknown,0,6
DDR4,Major Brand,16.0,2133.0,Single,16 GB PC4-17000,1,7
DDR4,Axiom,8.0,3200.0,Single,Unknown,0,8
DDR4,G.Skill,16.0,3200.0,Dual Kit,F4-3200C16D-16GTZR,0,9
DDR4,Unbranded,16.0,3200.0,Single,Does not apply,0,10
DDR4,SK Hynix,16.0,2666.0,Single,Unknown,0,11
DDR4,Crucial,16.0,3200.0,Single,Does not Apply,1,12
DDR4,SK Hynix,16.0,2400.0,Single,HMA42GR7AFR4NUH,1,13
DDR4,Major Brand,16.0,2400.0,Single,16 GB PC4-19200S,0,14
DDR4,Crucial,16.0,3200.0,Single,CT16G4DFRA32A,0,15
DDR4,Corsair,32.0,3200.0,Dual Kit,CMK32GX4M2B3200C16,0,16
DDR4,Corsair,16.0,3000.0,Dual Kit,Unknown,0,17
DDR4,G.Skill,32.0,2666.0,Dual Kit,F44000C18D32GTZR,0,18
DDR4,XPG,16.0,3000.0,Dual Kit,AX4U300038G16A-BB10,0,19
DDR4,Samsung,8.0,2400.0,Dual Kit,Unknown,0,20
DDR4,Corsair,128.0,3200.0,Bulk,CMW128GX4M8C3200C16W,0,21
DDR4,Micron,64.0,2933.0,Bulk,MTA36ASF8G72PZ-2G9E1UI,1,22
DDR4,Samsung,16.0,2400.0,Dual Kit,Unknown,0,23
DDR4,Micron,16.0,2133.0,Dual Kit,Unknown,1,24
DDR4,Crucial,8.0,2400.0,Single,Unknown,0,25
DDR4,Other,4.0,2400.0,Single,Does Not Apply,0,26
DDR4,Samsung,16.0,2666.0,Single,16GB PC4-3200AA,0,27
DDR4,A-Tech,8.0,3200.0,Single,AT8G1D4S3200NNRN12V,1,28
DDR4,Corsair,16.0,3200.0,Dual Kit,CMH16GX4M2E3200C16W,0,29
DDR4,Corsair,16.0,3200.0,Single,CMSX16GX4M1A3200C22,0,30
DDR4,Micron,16.0,2933.0,Single,MTA18ASF2G72PZ-2G9E6VI,1,31
DDR4,Other,8.0,2133.0,Single,Unknown,0,32
DDR4,Kingston,32.0,2400.0,Single,KVR24R17D4/32,1,33
DDR4,G.Skill,16.0,3000.0,Dual Kit,Unknown,0,34
DDR4,Kingston,16.0,3200.0,Single,KCP432ND8/16,0,35
DDR4,Other,32.0,2400.0,Dual Kit,16GB DDR4 2400,0,36
DDR4,Samsung,16.0,2666.0,Single,M471A2K43EB1-CWE,0,37
DDR4,ADATA,16.0,3200.0,Dual Kit,Unknown,0,38
DDR4,Other,8.0,3200.0,Single,Unknown,0,39
DDR4,SK Hynix,64.0,2400.0,Single,Unknown,1,40
DDR4,SK Hynix,32.0,3200.0,Single,HMAA4GS6CJR8N,0,41
DDR4,Major Brand,8.0,2666.0,Single,8 GB PC4-21300U,0,42
DDR4,Kingston,32.0,2666.0,Dual Kit,HX426C16FB3/16,0,43
DDR4,Samsung,32.0,2133.0,Single,"M393A4K40BB0-CPB0Q, M393A4K40BB0-CPB",1,44
DDR4,Samsung,8.0,2400.0,Single,M378A1K43CB2,0,45
DDR4,Major Brand,4.0,2133.0,Single,4 GB PC4-17000U,0,46
DDR4,Other,64.0,3200.0,Single,M393A8G40AB2-CWE,1,47
DDR4,G.Skill,32.0,2666.0,Bulk,Unknown,0,48
DDR4,Crucial,8.0,2666.0,Single,CT8G4SFRA266,0,49
DDR4,Other,8.0,2400.0,Single,"HMA81GS6AFR8N-UH, HMA81GS6MFR8N, HMA81GS6CJR8N",0,50
DDR4,Micron,16.0,2400.0,Bulk,Unknown,0,51
DDR4,Ramaxel,8.0,2666.0,Single,RMSA3260MB78HAF2400,0,52
DDR4,Samsung,8.0,2133.0,Single,M378A1K43BB1-CPB,0,53
DDR4,SK Hynix,16.0,2400.0,Single,MTA16ATF2G64AZ-2G6E1,0,54
DDR4,Kingston,8.0,2666.0,Single,933276001,0,55
DDR4,SK Hynix,8.0,2400.0,Single,HMA81GS6AFR8N-UH,0,56
DDR4,SK Hynix,8.0,3200.0,Single,HMAA1GU6CJR6N-XN,0,57
DDR4,Samsung,8.0,2666.0,Single,Unknown,0,58
DDR4,Samsung,32.0,3200.0,Bulk,Unknown,0,59
DDR4,SK Hynix,16.0,2400.0,Dual Kit,HMA81GS6AFR8NUH,0,60
DDR4,SK Hynix,16.0,3200.0,Single,PC43200AASA212,0,61
DDR4,Samsung,8.0,2666.0,Single,933276001,0,62
DDR4,SK Hynix,32.0,3200.0,Single,"HMA82GR7AFR8N-VK, HMAA4GU7CJR8NXN",1,63
DDR4,Kingston,16.0,2400.0,Single,"K821PJ-MIH, K821PJ-MID",0,64
DDR5,Micron,32.0,5600.0,Single,"HMCG88AGBSA095N, MTC16C2085S1SC56BD1",0,65
DDR4,SK Hynix,16.0,3200.0,Dual Kit,Unknown,0,66
DDR4,Other,8.0,2666.0,Single,WD4REV908G21MSB-PAN,1,67
DDR4,Crucial,16.0,2666.0,Single,CT16G4SFRA32A.C16FT,0,68
DDR4,SK Hynix,48.0,2133.0,Bulk,Unknown,1,69
DDR4,G.Skill,32.0,3600.0,Dual Kit,F43600C16D32GVKC,0,70
DDR4,Dell,16.0,2666.0,Single,Unknown,1,71
DDR4,Kingston,16.0,2400.0,Single,Unknown,0,72
DDR4,SK Hynix,8.0,3200.0,Dual Kit,Unknown,0,73
DDR4,SK Hynix,16.0,3200.0,Single,16GB PC4-3200AA,1,74
DDR4,Samsung,16.0,2666.0,Dual Kit,Unknown,0,75
DDR4,Samsung,12.0,2133.0,Bulk,Unknown,0,76
DDR4,Kingston,16.0,2133.0,Dual Kit,Unknown,0,77
DDR4,Corsair,16.0,3200.0,Single,Unknown,0,78
DDR4,A-Tech,16.0,2666.0,Bulk,Unknown,0,79
DDR4,Micron,16.0,2666.0,Dual Kit,Unknown,0,80
DDR4,Other,,2666.0,Dual Kit,Unknown,0,81
DDR4,Corsair,16.0,2666.0,Single,CMK32GX4M2A2666C16,0,82
DDR4,Other,8.0,2666.0,Bulk,8GB RAM,0,83
DDR4,SK Hynix,8.0,2400.0,Bulk,Unknown,0,84
DDR4,Corsair,8.0,3000.0,Dual Kit,CMK8GX4M2B3000C15,0,85
DDR4,SK Hynix,16.0,2666.0,Dual Kit,Unknown,0,86
DDR4,Kingston,16.0,2133.0,Bulk,Unknown,0,87
DDR4,Kingston,8.0,2133.0,Dual Kit,Unknown,0,88
DDR4,Corsair,16.0,3200.0,Dual Kit,CMR16GX4M2C3200C16,0,89
DDR4,XPG,8.0,3000.0,Single,Unknown,0,90
DDR5,G.Skill,32.0,6000.0,Dual Kit,F5-6000J3636F16GX2-FX5,0,91
DDR4,SK Hynix,32.0,3200.0,Single,HMAA4GS6AJR8N-XN,0,92
DDR4,Crucial,64.0,3200.0,Dual Kit,CP32G4DFRA32A.M16FF,0,93
DDR4,Team Group,16.0,3000.0,Dual Kit,TLZGD416G3200HC16CDC01,0,94
DDR4,SK Hynix,8.0,2400.0,Single,"HMA81GU6AFR8N-UH, HMA81GU6AFR8NUH",0,95
DDR4,Kingston,64.0,2666.0,Single,KSM26RD4/64HCR,0,96
DDR4,Unbranded,8.0,2133.0,Single,CM10246417000SO,0,97
DDR4,Micron,16.0,2400.0,Single,Unknown,0,98
DDR4,Micron,16.0,3200.0,Dual Kit,"MTA8ATF1G64HZ-3G2J1, MTA8ATF1G64HZ3G2J1",0,99
DDR4,Kingston,8.0,2400.0,Single,KM0VW4,0,100
DDR4,Major Brand,4.0,2400.0,Single,4 GB PC4-19200S,0,101
DDR4,Samsung,8.0,2400.0,Single,M378A1K43CB2-CRC,0,102
DDR4,Samsung,32.0,2133.0,Single,"M386A4G40DM0-CPB, M386A4G40DM0",1,103
DDR4,Samsung,8.0,3200.0,Single,Unknown,0,104
DDR4,Other,32.0,3200.0,Single,Unknown,0,105
DDR4,G.Skill,16.0,3200.0,Dual Kit,Unknown,0,106
DDR4,VisionTek,16.0,2666.0,Single,"901177, 401743",0,107
DDR4,GeIL,16.0,3000.0,Dual Kit,GPR48GB3000C16AS,0,108
DDR4,SK Hynix,4.0,2400.0,Single,Unknown,0,109
DDR4,Ramaxel,32.0,3200.0,Single,PC43200AASE111,0,110
DDR4,G.Skill,16.0,3200.0,Dual Kit,F43200C16D16GVKB,0,111
DDR4,G.Skill,32.0,3200.0,Single,"F4-3600C18Q-128GVK, F43200C16D32GVK",0,112
DDR4,SK Hynix,32.0,2666.0,Single,HMAA4GS6AJR8N-VK,0,113
DDR4,Other,32.0,3200.0,Single,HMAA4GU6CJR8N-XN,0,114
DDR4,Other,16.0,3200.0,Single,Does not apply,0,115
DDR4,Other,16.0,2400.0,Single,"BLS16G4D240FSB, BLS16G4D240FSB.16FD, 372423",0,116
DDR4,Other,8.0,2666.0,Single,NMUD480E84-2666EA00,0,117
